dish_id,tag
jp-style-ramen-tsukemen-rich-pork-seafood,rich
jp-style-ramen-tsukemen-rich-pork-seafood,dipping
jp-style-ramen-tsukemen-rich-pork-seafood,thick_noodle
jp-style-ramen-tsukemen-rich-pork-seafood,firm_noodle
jp-style-ramen-tsukemen-rich-pork-seafood,pork_bone
jp-style-ramen-tsukemen-rich-pork-seafood,seafood_forward
jp-style-ramen-tsukemen-rich-pork-seafood,noodle_forward
jp-style-ramen-tsukemen-rich-pork-seafood,fish_powder
jp-style-ramen-tsukemen-kombu-water,dipping
jp-style-ramen-tsukemen-kombu-water,dashi_forward
jp-style-ramen-tsukemen-kombu-water,noodle_forward
jp-style-ramen-tsukemen-kombu-water,smooth
jp-style-ramen-tsukemen-kombu-water,cold_noodle_common
jp-style-ramen-tsukemen-kombu-water,kombu_water
